date,donatello purple,raphael red,titian color,isPartial
2015-08-01,2,12,4,False
2015-09-01,0,15,3,False
2015-10-01,6,13,5,False
2015-11-01,2,10,3,False
2015-12-01,4,12,0,False
2016-01-01,0,12,3,False
2016-02-01,0,11,3,False
2016-03-01,0,12,4,False
2016-04-01,2,10,3,False
2016-05-01,0,12,3,False
2016-06-01,3,13,4,False
2016-07-01,0,10,5,False
2016-08-01,0,10,3,False
2016-09-01,0,11,6,False
2016-10-01,3,12,4,False
2016-11-01,0,10,6,False
2016-12-01,3,11,7,False
2017-01-01,0,10,7,False
2017-02-01,0,14,7,False
2017-03-01,2,11,5,False
2017-04-01,0,11,6,False
2017-05-01,0,9,8,False
2017-06-01,0,12,6,False
2017-07-01,0,10,8,False
2017-08-01,0,14,6,False
2017-09-01,0,10,8,False
2017-10-01,4,12,7,False
2017-11-01,0,11,4,False
2017-12-01,0,13,8,False
2018-01-01,0,11,7,False
2018-02-01,0,13,6,False
2018-03-01,0,11,4,False
2018-04-01,0,14,3,False
2018-05-01,0,10,4,False
2018-06-01,0,10,4,False
2018-07-01,0,13,3,False
2018-08-01,0,9,3,False
2018-09-01,0,10,3,False
2018-10-01,0,14,3,False
2018-11-01,0,10,3,False
2018-12-01,0,10,3,False
2019-01-01,0,11,4,False
2019-02-01,0,11,5,False
2019-03-01,0,10,3,False
2019-04-01,0,9,4,False
2019-05-01,0,8,4,False
2019-06-01,0,9,4,False
2019-07-01,0,12,4,False
2019-08-01,0,10,2,False
2019-09-01,2,10,2,False
2019-10-01,2,11,4,False
2019-11-01,3,11,3,False
2019-12-01,0,8,3,False
2020-01-01,2,11,2,False
2020-02-01,0,11,4,False
2020-03-01,0,9,4,False
2020-04-01,0,10,5,False
2020-05-01,0,12,5,False
2020-06-01,0,18,4,False
2020-07-01,0,15,5,False
2020-08-01,1,12,4,False
2020-09-01,0,10,5,False
2020-10-01,0,12,3,False
2020-11-01,0,10,5,False
2020-12-01,0,11,4,False
2021-01-01,2,17,4,False
2021-02-01,0,10,3,False
2021-03-01,0,11,4,False
2021-04-01,0,11,3,False
2021-05-01,0,10,3,False
2021-06-01,0,16,2,False
2021-07-01,0,13,0,False
2021-08-01,0,12,3,False
2021-09-01,0,11,4,False
2021-10-01,3,10,4,False
2021-11-01,0,9,3,False
2021-12-01,0,11,3,False
2022-01-01,0,13,5,False
2022-02-01,0,11,3,False
2022-03-01,0,11,4,False
2022-04-01,2,13,5,False
2022-05-01,0,14,4,False
2022-06-01,1,14,3,False
2022-07-01,2,15,3,False
2022-08-01,2,14,4,False
2022-09-01,2,15,4,False
2022-10-01,4,14,4,False
2022-11-01,0,14,4,False
2022-12-01,3,14,4,False
2023-01-01,2,12,4,False
2023-02-01,1,13,5,False
2023-03-01,2,11,5,False
2023-04-01,2,10,5,False
2023-05-01,2,12,5,False
2023-06-01,2,12,4,False
2023-07-01,4,12,2,False
2023-08-01,6,14,4,False
2023-09-01,5,15,5,False
2023-10-01,6,17,7,False
2023-11-01,2,16,4,False
2023-12-01,3,13,3,False
2024-01-01,2,16,5,False
2024-02-01,2,16,5,False
2024-03-01,3,14,4,False
2024-04-01,2,14,6,False
2024-05-01,2,13,3,False
2024-06-01,2,16,4,False
2024-07-01,0,16,3,False
2024-08-01,3,16,4,False
2024-09-01,3,14,7,False
2024-10-01,3,15,6,False
2024-11-01,4,15,5,False
2024-12-01,3,18,4,False
2025-01-01,2,15,4,False
2025-02-01,0,17,6,False
2025-03-01,2,17,6,False
2025-04-01,2,15,5,False
2025-05-01,3,17,4,False
2025-06-01,2,20,4,False
2025-07-01,2,19,4,False
2025-08-01,3,37,3,False
2025-09-01,4,32,6,False
2025-10-01,5,29,8,False
2025-11-01,2,37,9,False
2025-12-01,2,26,5,False
2026-01-01,5,34,6,False
2026-02-01,5,50,11,False
2026-03-01,5,49,7,False
2026-04-01,11,63,9,False
2026-05-01,14,68,10,False
2026-06-01,6,67,5,False
2026-07-01,3,100,4,False
2026-08-01,4,36,4,False
2026-09-01,2,30,3,True
