,Donatello [it],Tiziano [it],Donatello [fr],Titien [fr]
1975,1.7800052773964126e-06,3.7885354231548263e-06,3.496997464935703e-07,6.38557423826569e-07
1976,1.419333671037748e-06,8.440756573691033e-06,2.402881875696039e-07,1.202003659273032e-06
1977,1.5742054984002607e-06,6.357710844895337e-06,1.1301059998913843e-07,1.0599023880786262e-06
1978,3.3337257718812907e-06,1.0314797691535205e-05,2.721199621191772e-07,1.1686836387525545e-06
1979,2.7312637485010782e-06,4.9781042434915435e-06,8.746807367288056e-08,7.789609526298591e-07
1980,2.7393482469051378e-06,6.820356247771997e-06,1.322852369867178e-07,7.117163818293193e-07
1981,2.76612240668328e-06,5.753715413447935e-06,1.9874637757766322e-07,6.226975983736338e-07
1982,1.2189497056169785e-06,5.466718448587926e-06,2.8666457296822045e-07,1.0780952379718656e-06
1983,1.4845787745798589e-06,4.643593456421513e-06,1.9312821564199112e-07,8.873458909874898e-07
1984,2.767436171779991e-06,5.528442216018448e-06,2.032660262329955e-07,8.284272325909114e-07
1985,4.2258452594978735e-06,4.5410474740492646e-06,1.812780112686596e-07,7.923442808532855e-07
1986,4.920229457638925e-06,5.460982265503844e-06,1.5197359459762083e-07,7.499024832213763e-07
1987,2.7088194656244013e-06,5.723154572478961e-06,1.8536614732056478e-07,1.2919647360831732e-06
1988,2.622969304866274e-06,7.369991635641782e-06,1.2871873877884354e-07,1.0016880196417333e-06
1989,3.0949026950111147e-06,6.089969701861264e-06,2.0125627031575277e-07,9.824410653891391e-07
1990,2.3199622773972806e-06,8.30699809739599e-06,1.7292306608851504e-07,1.2506760640462744e-06
1991,2.74040348813287e-06,5.956794666417409e-06,1.4546273519044917e-07,1.3133038692103582e-06
1992,3.2837754133652197e-06,6.516648227261612e-06,2.7850822448272083e-07,8.411739145230968e-07
1993,3.910410669050179e-06,5.871748726349324e-06,2.2468491067684226e-07,4.789666490978561e-06
1994,3.1524955375061836e-06,8.588842320023105e-06,2.748645329120336e-07,1.1976241012234823e-06
1995,3.4473225696274312e-06,8.582537702750415e-06,2.1190982124608126e-07,1.1774666290875757e-06
1996,3.184231900377199e-06,7.3434371188341174e-06,3.430985771046835e-07,1.4518365105686826e-06
1997,2.219657062596525e-06,7.134149655030342e-06,2.3418849082190718e-07,1.0477389196239528e-06
1998,3.359365109645296e-06,9.9855578810093e-06,3.767565885937074e-07,1.421055003447691e-06
1999,2.1368452962633455e-06,8.132962648232933e-06,3.8050282569201954e-07,1.5816788163647288e-06
2000,2.8694012144114822e-06,8.70273925102083e-06,1.318417872653299e-07,1.0601255553410738e-06
2001,2.7531705200090073e-06,7.071664640534436e-06,2.725563206240622e-07,1.2768449551003869e-06
2002,2.3887880615802715e-06,8.29997043183539e-06,3.1305251013691304e-07,1.0961886118820985e-06
2003,2.3357213194685755e-06,6.28177440376021e-06,3.300883975043689e-07,1.7973657122638542e-06
2004,2.4637570277263876e-06,8.045365575526375e-06,2.638436740198813e-07,2.244478537249961e-06
2005,2.557992502261186e-06,6.417257736757165e-06,1.8843887517050462e-07,1.1695842658809852e-06
2006,2.410325805612956e-06,6.124560513853794e-06,3.562796564438031e-07,1.9145138594467426e-06
2007,2.3810023321857443e-06,7.204471785371425e-06,4.446997365903371e-07,1.3544852208724478e-06
2008,2.2657741283182986e-06,5.130224963068031e-06,3.089216704665887e-07,1.4796934237892856e-06
2009,1.8378588038103771e-06,9.321232028014492e-06,3.500221623653488e-07,1.685617576185905e-06
2010,1.1916310995729873e-06,3.512513785608462e-06,2.0611319939689565e-07,1.0817964266607305e-06
2011,6.302385031631275e-07,2.5797762646107003e-06,2.5696508032524434e-07,1.197658889395825e-06
2012,5.332859132067824e-07,2.2155968508741353e-06,3.5525300745575805e-07,1.0600006135064177e-06
2013,1.141686993832991e-06,2.7466926439956296e-06,1.863457441686478e-07,7.303727898033685e-07
2014,8.716423849364219e-07,3.428383934078738e-06,6.190641101966321e-07,9.336412745142297e-07
2015,8.66882658101531e-07,2.9137538604118163e-06,3.1689660318079405e-07,1.0803838677020394e-06
2016,9.249171171177295e-07,3.574332140487968e-06,3.6243395129531564e-07,1.4720474155183183e-06
2017,7.136409294616897e-07,2.9557472771557514e-06,2.023315914811974e-07,7.249002464959631e-07
2018,9.235002949026239e-07,2.6250986593367998e-06,2.732660107085394e-07,8.683387022756506e-07
2019,7.3178682669095e-07,2.568272748249001e-06,4.911278779218264e-07,1.1983520380454138e-06
