,Donatello [en-US],Luca della Robbia [en-US],Titian [en-US],Donatello [en-GB],Luca della Robbia [en-GB],Titian [en-GB]
1983,1.1307215430633732e-07,1.519182823983556e-08,2.7367738653083507e-07,3.3290098144789226e-07,4.5887517785558884e-08,6.053258516658389e-07
1984,1.5414158838211733e-07,9.806897516284607e-09,2.5368993306074117e-07,1.8247438049456832e-07,1.9561312569749134e-08,4.745446346987592e-07
1985,1.686544521817268e-07,1.4542258064409452e-08,2.4428237566098687e-07,1.7021878306877625e-07,2.4316857860640084e-08,6.68824213789776e-07
1986,1.8893376818596153e-07,2.1225879720532248e-08,2.6398208774480736e-07,4.723848974208522e-07,6.676923192117101e-08,3.980475185016985e-07
1987,1.1535556154740334e-07,1.6514778877763092e-08,2.614539766909729e-07,1.7618943104480422e-07,8.659547745537566e-09,5.111080554343062e-07
1988,1.0182895238131096e-07,9.70470814820601e-09,3.123671774574177e-07,1.9987847110769508e-07,3.409729032455289e-08,5.741866857533751e-07
1989,9.264647360396339e-08,7.049826500349354e-09,2.0369533615394175e-07,1.321655958008705e-07,1.7788615025438048e-08,6.14325301739882e-07
1990,1.442332262513446e-07,8.232628800897146e-09,2.5979173301493574e-07,3.396987153791997e-07,3.376809587507523e-08,7.230885898934503e-07
1991,1.5588497603857832e-07,6.203172198127049e-09,2.497000650691916e-07,2.0505071063325886e-07,3.273069282272445e-08,5.59535635602515e-07
1992,1.106361295910574e-07,7.991953765440485e-09,2.1192613530729432e-07,2.8063956847290683e-07,3.0365775671725714e-08,8.180123245438153e-07
1993,1.559455284905198e-07,8.162369447006768e-09,2.635168527831411e-07,1.8889957686951675e-07,3.070183751674449e-08,8.735328833608946e-07
1994,1.743663489151004e-07,1.540000660327223e-08,2.2569066970845597e-07,2.472149560617254e-07,5.213080100929801e-08,8.225424039665086e-07
1995,1.243228950897901e-07,8.387506689189195e-09,2.8706952548418485e-07,2.84266548078449e-07,3.219847144464438e-08,5.830979716847651e-07
1996,1.456836713487064e-07,1.5746294934615435e-08,3.941240720450878e-07,5.379819185691304e-07,8.5105355651649e-08,5.682558139596949e-07
1997,1.0676419748278931e-07,9.509062870449725e-09,2.2234917196328752e-07,2.565752197369875e-07,2.6047898060710395e-08,6.666875265182171e-07
1998,1.295239400178616e-07,9.560365832328444e-09,2.579883755515766e-07,1.7755539261088416e-07,1.6406104919042264e-08,4.873017473983055e-07
1999,1.343803290865253e-07,9.54855927659537e-09,2.674208872122108e-07,2.5756858690328954e-07,2.964310574782303e-08,9.133294724961161e-07
2000,1.6671833691361826e-07,1.2073271271617614e-08,2.933880978162051e-07,3.981074314651778e-07,8.534757256484227e-08,9.029473062582838e-07
2001,1.3629758655042679e-07,1.1195030680255513e-08,3.319012478186778e-07,3.514051059028134e-07,2.6411399289827386e-08,6.836588681835565e-07
2002,1.4276228910148347e-07,1.064431920383413e-08,2.7208028541281237e-07,5.233428623796499e-07,5.783967793604461e-08,6.478230716311373e-07
2003,1.3834329593009898e-07,7.620695186005833e-09,2.985022717894026e-07,4.282165662061743e-07,4.486681604021214e-08,1.0879504088734393e-06
2004,1.225295562790052e-07,7.922760225653747e-09,2.4737497028581856e-07,3.0233417191993794e-07,3.015794902694324e-08,9.798435485208756e-07
2005,1.7066457758119213e-07,1.513288694354742e-08,2.8594337209142395e-07,1.9820537033865548e-07,2.808416965649485e-08,7.059369409034844e-07
2006,1.9369294079751853e-07,1.4097118139488884e-08,3.697774388911057e-07,2.7998819973618083e-07,2.39519728495452e-08,6.621279453611351e-07
2007,1.1349040107688779e-07,7.800915469147185e-09,3.104671009168669e-07,3.857932142636855e-07,2.711967717061725e-08,9.812858934310498e-07
2008,1.764685322314108e-07,9.21792686625622e-09,2.9871873152842454e-07,2.229734974434905e-07,2.0291190949706106e-08,8.147434868988057e-07
2009,1.762573589303429e-07,8.89532802972326e-09,3.615273556079046e-07,1.7535103324917145e-07,2.2546162270487002e-08,6.694116905237024e-07
2010,1.1994421811323264e-07,8.669689854912122e-09,4.185661168776278e-07,1.5251953300321475e-07,9.801413902721379e-09,5.109029075356375e-07
2011,1.5563436761567573e-07,1.0966255459265994e-08,2.657392030869232e-07,1.5754876869777945e-07,1.9302948572885725e-08,6.495960178654059e-07
2012,1.4561517502897914e-07,1.077167599561335e-08,4.3193989540668554e-07,1.5274892462002754e-07,1.950401617989428e-08,4.5450292418536264e-07
2013,1.0316451692915507e-07,5.691783488970259e-09,2.309210884732238e-07,1.8262443290950614e-07,1.8282591440765827e-08,7.688926189075573e-07
2014,1.162325062864511e-07,4.591602653647442e-09,2.363610747124767e-07,1.208589708312502e-07,1.467788823816818e-08,4.0749384311311587e-07
2015,1.410063816820184e-07,9.342842055559686e-09,4.5029042894384474e-07,1.421694548753294e-07,1.8519104472147774e-08,5.198573944653617e-07
2016,2.5938399517144717e-07,1.3523611563925897e-08,4.2322494664404076e-07,1.8111472854798194e-07,3.3049314396293994e-08,5.340504571904603e-07
2017,1.226688510769236e-07,1.000201521605959e-08,2.4861981273716083e-07,1.809889482728977e-07,2.0019644608737508e-08,6.77739990351256e-07
2018,2.2936779942028807e-07,1.05000461658733e-08,2.887367998027912e-07,2.1530698290916916e-07,2.2729823356826273e-08,7.205288738987292e-07
2019,1.770346500507003e-07,1.3982779378807209e-08,3.510011197249696e-07,4.3440834929242556e-07,2.030024504051653e-08,5.465448111863225e-07
