prev,curr,type,n
Isabella_Stewart_Gardner_Museum_theft,Titian,link,31
Painting_knife,Titian,link,12
"Federico_II_Gonzaga,_Duke_of_Mantua",Titian,link,13
Pietà_(Titian),Titian,link,26
Cyclopes,Titian,link,12
Isabella_Stewart_Gardner,Titian,link,39
Human–canine_bond,Titian,link,12
Pope_Paul_III,Titian,link,80
Vatican_Museums,Titian,link,24
Battle_of_Mohács,Titian,link,24
Impasto,Titian,link,43
Crucifixion_(Titian),Titian,link,14
Sextus_Tarquinius,Titian,link,18
Théodore_Géricault,Titian,link,15
Frick_Collection,Titian,link,28
John_Calvin,Titian,link,16
Polymath,Leonardo_da_Vinci,link,808
Self-portrait,Leonardo_da_Vinci,link,10
Clos_Lucé,Leonardo_da_Vinci,link,73
Vascular_surgery,Leonardo_da_Vinci,link,12
House_of_Medici,Leonardo_da_Vinci,link,244
Eugène_Viollet-le-Duc,Leonardo_da_Vinci,link,14
Mary_Magdalene,Leonardo_da_Vinci,link,56
Leda_and_the_Swan,Leonardo_da_Vinci,link,55
Isaac_Newton,Leonardo_da_Vinci,other,55
Frida_Kahlo,Leonardo_da_Vinci,other,10
Aeronautics,Leonardo_da_Vinci,link,11
Jan_van_Eyck,Leonardo_da_Vinci,other,14
Assassin's_Creed_II,Leonardo_da_Vinci,link,82
Aristotle,Leonardo_da_Vinci,other,16
Metropolitan_City_of_Florence,Leonardo_da_Vinci,link,10
Yoko_Ono,Leonardo_da_Vinci,link,10
A_Treatise_on_Painting,Leonardo_da_Vinci,link,25
2001:_A_Space_Odyssey,Leonardo_da_Vinci,link,10
Da_Vinci's_Demons,Leonardo_da_Vinci,link,271
List_of_Little_Einsteins_episodes,Leonardo_da_Vinci,link,46
Eucharist,Leonardo_da_Vinci,link,10
List_of_mechanical_engineers,Leonardo_da_Vinci,link,12
Ludwig_van_Beethoven,Leonardo_da_Vinci,other,10
Secret_Warriors_(Team_White),Leonardo_da_Vinci,link,15
List_of_lay_Catholic_scientists,Leonardo_da_Vinci,link,16
Florence,Leonardo_da_Vinci,link,248
Contact_lens,Leonardo_da_Vinci,link,75
BrainPop,Leonardo_da_Vinci,link,12
Milan,Leonardo_da_Vinci,link,104
Codex_Atlanticus,Leonardo_da_Vinci,link,94
Mr._Peabody_&_Sherman,Leonardo_da_Vinci,link,76
History_of_human_sexuality,Leonardo_da_Vinci,link,15
Capillary_action,Leonardo_da_Vinci,link,29
Annunciation_(Leonardo),Leonardo_da_Vinci,link,192
Hieronymus_Bosch,Leonardo_da_Vinci,other,10
John_the_Baptist,Leonardo_da_Vinci,link,18
15th_century,Leonardo_da_Vinci,link,18
Navel,Leonardo_da_Vinci,link,10
Madonna_(art),Leonardo_da_Vinci,link,36
Johann_Tobias_Mayer,Leonardo_da_Vinci,link,13
Bernardo_Bandini_Baroncelli,Leonardo_da_Vinci,link,38
Wikipedia,Leonardo_da_Vinci,other,49
Mohammed_bin_Salman,Leonardo_da_Vinci,link,96
Fountain_pen,Leonardo_da_Vinci,link,53
Museo_Ideale_Leonardo_da_Vinci,Leonardo_da_Vinci,link,10
Madonna_Litta,Leonardo_da_Vinci,link,17
History_of_paleontology,Leonardo_da_Vinci,link,22
Leonardeschi,Leonardo_da_Vinci,link,56
Cecilia_Gallerani,Leonardo_da_Vinci,link,21
Assassin's_Creed:_Brotherhood,Leonardo_da_Vinci,link,60
Po_(river),Leonardo_da_Vinci,link,20
Painting,Leonardo_da_Vinci,link,252
Leonardo_da_Vinci_(disambiguation),Leonardo_da_Vinci,link,27
Sagittal_plane,Leonardo_da_Vinci,link,13
National_Gallery_of_Art,Leonardo_da_Vinci,link,77
Italians,Leonardo_da_Vinci,link,17
List_of_paintings_by_Raphael,Leonardo_da_Vinci,link,42
Humanoid_robot,Leonardo_da_Vinci,link,17
Steam_cannon,Leonardo_da_Vinci,link,22
The_Battle_of_Anghiari_(Leonardo),Leonardo_da_Vinci,link,71
Qin_Gang,Leonardo_da_Vinci,other,13
Leonardo_Vinci,Leonardo_da_Vinci,link,47
Early_flying_machines,Leonardo_da_Vinci,link,22
Italian_Renaissance,Leonardo_da_Vinci,link,401
Priory_of_Sion,Leonardo_da_Vinci,link,162
Sistine_Chapel,Leonardo_da_Vinci,other,42
Stoat,Leonardo_da_Vinci,link,13
Leonardo's_robot,Leonardo_da_Vinci,link,82
Madonna_of_the_Yarnwinder,Leonardo_da_Vinci,link,101
Drawing,Leonardo_da_Vinci,link,88
Pedalo,Leonardo_da_Vinci,link,16
Gerolamo_Cardano,Leonardo_da_Vinci,link,12
The_Life_of_Leonardo_da_Vinci,Leonardo_da_Vinci,link,11
Northern_Renaissance,Leonardo_da_Vinci,link,11
Stewie_Griffin,Leonardo_da_Vinci,link,12
David_(Verrocchio),Leonardo_da_Vinci,link,11
Anchiano,Leonardo_da_Vinci,link,38
Codex_Madrid_(Leonardo),Leonardo_da_Vinci,link,10
Scientist,Leonardo_da_Vinci,link,12
Roller_chain,Leonardo_da_Vinci,link,11
High_Renaissance,Leonardo_da_Vinci,link,529
Caravaggio,Leonardo_da_Vinci,link,50
Louvre,Leonardo_da_Vinci,link,149
Portrait,Leonardo_da_Vinci,link,15
Visual_arts,Leonardo_da_Vinci,link,11
Ape_index,Leonardo_da_Vinci,link,10
Ginevra_de'_Benci,Leonardo_da_Vinci,link,102
Benjamin_Franklin,Leonardo_da_Vinci,other,12
Giovanni_Antonio_Boltraffio,Leonardo_da_Vinci,link,16
Speculations_about_Mona_Lisa,Leonardo_da_Vinci,link,67
Puss_in_Boots_(2011_film),Leonardo_da_Vinci,link,14
Head,Leonardo_da_Vinci,link,11
Inventor's_notebook,Leonardo_da_Vinci,link,62
Lucan_portrait_of_Leonardo_da_Vinci,Leonardo_da_Vinci,link,46
Sandro_Botticelli,Leonardo_da_Vinci,link,226
Marguerite_de_Navarre,Leonardo_da_Vinci,link,14
Bible,Leonardo_da_Vinci,link,25
Zatanna,Leonardo_da_Vinci,link,13
Age_of_Aquarius,Leonardo_da_Vinci,link,38
Napkin,Leonardo_da_Vinci,link,10
Male_Mona_Lisa_theories,Leonardo_da_Vinci,link,36
Leonarde_Keeler,Leonardo_da_Vinci,link,13
Poland,Leonardo_da_Vinci,link,35
Johannes_Vermeer,Leonardo_da_Vinci,link,25
Legitimacy_(family_law),Leonardo_da_Vinci,link,59
Johannes_Gutenberg,Leonardo_da_Vinci,other,12
Leonardo's_crossbow,Leonardo_da_Vinci,link,35
Giorgione,Leonardo_da_Vinci,link,10
Dredging,Leonardo_da_Vinci,link,11
Ginevra_King,Leonardo_da_Vinci,link,12
Salvador_Dalí,Leonardo_da_Vinci,link,11
Cyberpunk_derivatives,Leonardo_da_Vinci,link,17
Leonardo_(2021_TV_series),Leonardo_da_Vinci,link,173
Leonardo_DiCaprio,Leonardo_da_Vinci,link,238
Batman,Leonardo_da_Vinci,link,23
List_of_Baby_Einstein_videos,Leonardo_da_Vinci,link,20
List_of_characters_in_the_Family_Guy_franchise,Leonardo_da_Vinci,link,19
Situs_inversus,Leonardo_da_Vinci,link,16
Crashbox,Leonardo_da_Vinci,link,13
Ivar_Kreuger,Leonardo_da_Vinci,link,10
Salvator_Mundi_(Leonardo),Leonardo_da_Vinci,link,1377
Mercenary,Leonardo_da_Vinci,link,158
Green,Leonardo_da_Vinci,link,13
Robot,Leonardo_da_Vinci,link,12
List_of_mathematical_artists,Leonardo_da_Vinci,link,13
Vatican_Museums,Leonardo_da_Vinci,link,23
List_of_futurologists,Leonardo_da_Vinci,link,18
Lombardy,Leonardo_da_Vinci,link,10
Isleworth_Mona_Lisa,Leonardo_da_Vinci,link,26
Nordicism,Leonardo_da_Vinci,link,15
Robert_Hooke,Leonardo_da_Vinci,link,65
Unicorn,Leonardo_da_Vinci,link,20
Toothlessness,Leonardo_da_Vinci,link,12
"Francis_III,_Duke_of_Brittany",Leonardo_da_Vinci,link,10
"Leonardo_da_Vinci,_A_Memory_of_His_Childhood",Leonardo_da_Vinci,link,10
Ostrich_Egg_Globe,Leonardo_da_Vinci,link,15
Florence_Cathedral,Leonardo_da_Vinci,link,22
List_of_people_claimed_to_possess_an_eidetic_memory,Leonardo_da_Vinci,link,45
French_Renaissance,Leonardo_da_Vinci,link,13
Leonardo's_aerial_screw,Leonardo_da_Vinci,link,118
Interracial_marriage,Leonardo_da_Vinci,link,12
The_Inventor_(2023_film),Leonardo_da_Vinci,link,151
Nostradamus,Leonardo_da_Vinci,other,14
Michelangelo,Leonardo_da_Vinci,link,5536
Lists_of_painters,Leonardo_da_Vinci,link,47
Photography,Leonardo_da_Vinci,link,29
Tuscany,Leonardo_da_Vinci,link,41
History_of_the_bicycle,Leonardo_da_Vinci,link,32
List_of_Epic_Rap_Battles_of_History_episodes,Leonardo_da_Vinci,link,12
Siegfried_Woldhek,Leonardo_da_Vinci,link,10
Scottish_National_Gallery,Leonardo_da_Vinci,link,13
Wolfgang_Amadeus_Mozart,Leonardo_da_Vinci,other,11
Divina_proportione,Leonardo_da_Vinci,link,35
List_of_Renaissance_figures,Leonardo_da_Vinci,link,37
Sfumato,Leonardo_da_Vinci,link,41
The_Wedding_at_Cana,Leonardo_da_Vinci,link,21
Luca_Pacioli,Leonardo_da_Vinci,link,186
Renaissance,Leonardo_da_Vinci,link,735
The_League_of_Extraordinary_Gentlemen_(film),Leonardo_da_Vinci,link,32
Figure_drawing,Leonardo_da_Vinci,link,14
Medical_Renaissance,Leonardo_da_Vinci,link,11
Royal_Collection,Leonardo_da_Vinci,link,11
Engineering,Leonardo_da_Vinci,link,33
Leonardo_da_Vinci–Fiumicino_Airport,Leonardo_da_Vinci,link,30
Codex_Leicester,Leonardo_da_Vinci,link,130
Portrait_of_a_Man_in_Red_Chalk,Leonardo_da_Vinci,link,177
Château_de_Chambord,Leonardo_da_Vinci,link,46
Vincent_van_Gogh,Leonardo_da_Vinci,other,106
John_the_Apostle,Leonardo_da_Vinci,link,11
Nathaniel_Richards_(Marvel_Comics),Leonardo_da_Vinci,link,41
Sala_delle_Asse,Leonardo_da_Vinci,link,40
other-external,Leonardo_da_Vinci,external,2099
Culture_of_Italy,Leonardo_da_Vinci,link,19
Crossbow,Leonardo_da_Vinci,link,14
Francesco_I_Sforza,Leonardo_da_Vinci,link,12
List_of_people_considered_father_or_mother_of_a_scientific_field,Leonardo_da_Vinci,link,23
Vinci,Leonardo_da_Vinci,link,10
History_of_Florence,Leonardo_da_Vinci,link,15
List_of_inventors,Leonardo_da_Vinci,link,14
Ezio_Auditore_da_Firenze,Leonardo_da_Vinci,link,35
Vlad_the_Impaler,Leonardo_da_Vinci,link,40
Visual_perception,Leonardo_da_Vinci,link,10
Da_Vinci_family,Leonardo_da_Vinci,link,186
Albert_Einstein,Leonardo_da_Vinci,other,65
Teenage_Mutant_Ninja_Turtles,Leonardo_da_Vinci,link,530
Airplane,Leonardo_da_Vinci,link,31
Lisa_del_Giocondo,Leonardo_da_Vinci,link,935
Camera_obscura,Leonardo_da_Vinci,link,25
Scythed_chariot,Leonardo_da_Vinci,link,12
Sistine_Chapel_ceiling,Leonardo_da_Vinci,link,12
S.Pellegrino,Leonardo_da_Vinci,link,15
Rorschach_test,Leonardo_da_Vinci,link,15
Golden_ratio,Leonardo_da_Vinci,link,28
Raphael,Leonardo_da_Vinci,link,1767
Wheellock,Leonardo_da_Vinci,link,15
Albrecht_Dürer,Leonardo_da_Vinci,link,133
Christian_humanism,Leonardo_da_Vinci,link,10
George_Washington_Carver,Leonardo_da_Vinci,link,157
Alias_(TV_series),Leonardo_da_Vinci,link,17
Marco_Polo,Leonardo_da_Vinci,other,11
Rimini,Leonardo_da_Vinci,link,10
Realism_(arts),Leonardo_da_Vinci,link,12
The_Virgin_and_Child_with_Saint_Anne_and_Saint_John_the_Baptist,Leonardo_da_Vinci,link,32
Euler–Bernoulli_beam_theory,Leonardo_da_Vinci,link,17
DaVinci_Resolve,Leonardo_da_Vinci,other,13
Adoration_of_the_Magi_(Leonardo),Leonardo_da_Vinci,link,56
Time_Squad,Leonardo_da_Vinci,link,11
KISS_principle,Leonardo_da_Vinci,link,32
Maxillary_sinus,Leonardo_da_Vinci,link,14
Dante_Alighieri,Leonardo_da_Vinci,other,23
Titian,Leonardo_da_Vinci,link,13
Giorgio_Vasari,Leonardo_da_Vinci,link,105
Personal_knowledge_base,Leonardo_da_Vinci,link,14
Attention_deficit_hyperactivity_disorder,Leonardo_da_Vinci,link,57
Victoria_and_Albert_Museum,Leonardo_da_Vinci,link,11
Human_brain,Leonardo_da_Vinci,link,12
Architonnerre,Leonardo_da_Vinci,link,15
Amboise,Leonardo_da_Vinci,link,16
Napoleon,Leonardo_da_Vinci,other,11
Skeleton,Leonardo_da_Vinci,link,20
Science_in_the_Renaissance,Leonardo_da_Vinci,link,15
Catholic_Church,Leonardo_da_Vinci,link,87
Madonna_of_Bruges,Leonardo_da_Vinci,link,21
Two–Mona_Lisa_theory,Leonardo_da_Vinci,link,29
The_Baptism_of_Christ_(Verrocchio_and_Leonardo),Leonardo_da_Vinci,link,76
Donatello,Leonardo_da_Vinci,link,100
Francesco_Melzi,Leonardo_da_Vinci,link,119
Art,Leonardo_da_Vinci,link,49
Vincenzo_Peruggia,Leonardo_da_Vinci,link,61
Da_Vinci_Machine,Leonardo_da_Vinci,other,11
Filippo_Brunelleschi,Leonardo_da_Vinci,link,14
Codex_on_the_Flight_of_Birds,Leonardo_da_Vinci,link,14
Main_Page,Leonardo_da_Vinci,other,1224
other-empty,Leonardo_da_Vinci,external,64960
His_Dark_Materials,Leonardo_da_Vinci,link,11
Agostino_Vespucci,Leonardo_da_Vinci,link,11
Tank,Leonardo_da_Vinci,link,94
Stephen_Fry_bibliography_and_filmography,Leonardo_da_Vinci,link,12
John_Argyropoulos,Leonardo_da_Vinci,link,14
Apostles_in_the_New_Testament,Leonardo_da_Vinci,link,162
Catapult,Leonardo_da_Vinci,link,14
The_School_of_Athens,Leonardo_da_Vinci,link,286
History_of_robots,Leonardo_da_Vinci,link,10
Siege,Leonardo_da_Vinci,link,12
Homi_J._Bhabha,Leonardo_da_Vinci,link,45
Portrait_of_a_Musician,Leonardo_da_Vinci,link,29
Leonardo_(ISS_module),Leonardo_da_Vinci,link,12
List_of_Italian_scientists,Leonardo_da_Vinci,link,17
House_of_Sforza,Leonardo_da_Vinci,link,11
Mannerism,Leonardo_da_Vinci,link,113
Résumé,Leonardo_da_Vinci,link,20
Jesus_predicts_his_betrayal,Leonardo_da_Vinci,link,12
History_of_art,Leonardo_da_Vinci,link,41
List_of_video_games_with_LGBT_characters,Leonardo_da_Vinci,link,34
Leonardo_(given_name),Leonardo_da_Vinci,link,18
Medusa_(Leonardo),Leonardo_da_Vinci,link,22
Peter_Paul_Rubens,Leonardo_da_Vinci,link,16
Madonna_of_the_Carnation,Leonardo_da_Vinci,link,29
Bacchus_(Leonardo),Leonardo_da_Vinci,link,40
Bill_Gates,Leonardo_da_Vinci,link,56
Sexual_intercourse,Leonardo_da_Vinci,link,97
History_of_anatomy,Leonardo_da_Vinci,link,25
Château_d'Amboise,Leonardo_da_Vinci,link,92
Medusa,Leonardo_da_Vinci,link,20
Herodotus_Machine,Leonardo_da_Vinci,link,10
Da_Vinci_(disambiguation),Leonardo_da_Vinci,link,48
Il_Sodoma,Leonardo_da_Vinci,link,15
Cartoon,Leonardo_da_Vinci,link,13
List_of_vegetarians,Leonardo_da_Vinci,link,11
Nikola_Tesla,Leonardo_da_Vinci,other,15
Museo_Nazionale_Scienza_e_Tecnologia_Leonardo_da_Vinci,Leonardo_da_Vinci,link,34
VTOL,Leonardo_da_Vinci,link,22
Christopher_Columbus,Leonardo_da_Vinci,other,32
Human_skeleton,Leonardo_da_Vinci,link,13
Renaissance_architecture,Leonardo_da_Vinci,link,10
Giovanni_da_Verrazzano,Leonardo_da_Vinci,link,27
Castello_Sforzesco,Leonardo_da_Vinci,link,34
Sigmund_Freud's_views_on_homosexuality,Leonardo_da_Vinci,link,28
