,Donatello,Leonardo da Vinci,Michelangelo,Raphael,the painter Raphael,the sculptor Donatello,Michelangelo Buonarroti,Titian,Caravaggio,Botticelli,Verrocchio,Ghirlandaio,Fra Angelico,Masaccio,Giovanni Bellini,Michaelangelo,the divine Michelangelo,Renaissance art,Leonardo and Michelangelo,Michelangelo and Raphael,Raphael and Donatello,Lorenzo Ghiberti,Luca della Robbia,Andrea del Sarto,Mantegna,Tintoretto,Perugino,Teenage Mutant Ninja Turtles,Ninja Turtles,TMNT
1915,1.1629128948698053e-07,2.3020329820155894e-07,2.366487024119124e-07,1.6787690810815548e-06,4.3291639717502045e-10,3.246873048201593e-10,5.318443019319829e-09,3.8402328073061653e-07,2.04210035548158e-08,1.5839830780350894e-07,4.3100968127873784e-08,1.4818780869063632e-08,9.632290698391445e-08,2.7920751932697385e-08,2.3932992476716208e-08,1.3101971063633757e-08,0.0,1.7826632614514892e-08,1.839894681054943e-09,3.246872992690441e-09,0.0,4.9244839317452715e-09,4.4482160177494734e-08,4.0694139613606246e-08,5.999799412848006e-08,1.1240587838301509e-07,6.758809689699774e-08,0.0,0.0,0.0
1916,1.0105550529715401e-07,2.191939216800165e-07,2.324725869584654e-07,1.7153386124846293e-06,3.2281871620298825e-10,1.0760624336025868e-10,4.40622738295815e-09,2.8960263875887904e-07,1.5540091879984175e-08,1.4650802881988056e-07,3.2427589502503906e-08,1.6168881344924557e-08,8.068292345342344e-08,2.3534704851613242e-08,2.036656354675869e-08,1.6707843997210148e-08,1.0760624336025868e-10,1.7331162283085177e-08,1.3988811220499995e-09,3.6586123020043715e-09,0.0,4.40622738295815e-09,2.8085230141527973e-08,3.9491492742627094e-08,5.1291284108856416e-08,8.74916139537163e-08,6.683137598884059e-08,0.0,0.0,0.0
1917,6.872188862416806e-08,2.0238050524312717e-07,1.834685292578797e-07,1.527913696008909e-06,2.1506961489503595e-10,2.1506961489503595e-10,6.8620602533542305e-09,2.6750197434921574e-07,1.0898228985922742e-08,1.142963057532143e-07,1.9995097133573843e-08,1.0808161476916212e-08,5.8817658299403774e-08,2.0895777552709663e-08,2.146844479966603e-08,1.5221493399053543e-08,0.0,1.6959091908574926e-08,7.527436451937317e-10,1.397952531512203e-09,0.0,3.627089073532375e-09,1.4409664572667681e-08,2.957207279052909e-08,4.530420838477767e-08,6.439862687557253e-08,4.3773052738060876e-08,0.0,9.802943179426649e-11,0.0
1918,7.438603688569857e-08,1.877111088788297e-07,1.5814354981102954e-07,1.3613035889648015e-06,3.49772266705628e-10,2.331815018852268e-10,4.463131197951498e-09,2.100771041568805e-07,1.4642921541963004e-08,8.805276507928286e-08,3.162870854112043e-08,1.0933381311417634e-08,4.69691414650697e-08,2.08905674980997e-08,1.0839032782428148e-08,1.2690532180670289e-08,0.0,1.3708188362215878e-08,9.327260075409072e-10,1.7488612780169883e-09,0.0,2.8691555797877304e-09,1.6555887327740493e-08,2.308496860337073e-08,4.91025957671809e-08,3.973112683297586e-08,3.2312044595528284e-08,0.0,0.0,0.0
1919,7.952273506361962e-08,2.0580968396188842e-07,1.9351747937435e-07,1.4097046232564026e-06,3.266820425285032e-10,2.1778802372640627e-10,4.96310992303961e-09,2.261655680513286e-07,9.849145499174485e-09,1.3861760805866652e-07,2.7997108631439005e-08,1.6780026257379177e-08,6.432190247096514e-08,2.5899606015400426e-08,1.3598921100310692e-08,1.1217082374059828e-08,1.0889401186320312e-10,1.2407774363509816e-08,1.415622175038322e-09,2.0689863156064803e-09,0.0,2.0845061232677153e-09,2.2323272119706417e-08,3.1905944553045635e-08,4.158528099651448e-08,5.6085411870299147e-08,5.052246976333664e-08,0.0,0.0,0.0
1920,8.598102851919975e-08,2.484348726738972e-07,2.053991181583115e-07,1.565896809552214e-06,4.1631315061962927e-10,1.0407828765490732e-10,1.1362387475344349e-08,3.5451975577416306e-07,2.8399792739719487e-08,1.318375666414795e-07,2.5533758218898583e-08,2.3449370445405293e-08,7.054148909446667e-08,3.4045012142769344e-08,2.1493850255183133e-08,1.3287976941001034e-08,9.367046027719539e-10,1.6948895620316762e-08,6.244696981738682e-10,3.018270300358949e-09,0.0,4.071522230475466e-09,2.039934443587299e-08,4.4441428315167286e-08,9.0844601174922e-08,6.852427247849846e-08,5.7581232226766594e-08,0.0,0.0,1.7369904126152136e-10
1921,9.43645162010398e-08,2.2667575194645906e-07,2.061942865339006e-07,1.521215040156676e-06,1.0374176517835564e-10,1.0374176517835564e-10,8.038630205930986e-09,2.9204340989963384e-07,2.4764169381796826e-08,1.2720963127321738e-07,2.5285519456019763e-08,2.320011560641433e-08,6.260674467739591e-08,2.4069034765261683e-08,1.3618385530378418e-08,2.4242817531217042e-08,0.0,1.6928408896887962e-08,1.1411593892063363e-09,3.1122528998395182e-09,0.0,4.161173183803157e-09,1.8777258858904133e-08,4.0874255091694074e-08,6.490819259852287e-08,7.116440059462549e-08,5.0657931183195615e-08,0.0,0.0,0.0
1922,9.112999066474005e-08,2.476216991453839e-07,2.2709491531713866e-07,1.4311960967461346e-06,5.118265811177023e-10,4.094612704452771e-10,6.725313195232729e-09,2.992430552239967e-07,3.2810234529279114e-08,1.1792788257025677e-07,2.1558555829415127e-08,1.6920459700031646e-08,6.127507390374376e-08,2.49941827235034e-08,1.9989125021879772e-08,2.06137595881728e-08,0.0,1.690669115816945e-08,7.165572024625533e-10,2.5591329055885126e-09,0.0,2.6153996746103303e-09,2.8559924203364065e-08,3.756807132049289e-08,5.41111191409982e-08,1.0495838864699181e-07,4.5522050129420684e-08,0.0,0.0,0.0
1923,1.1161640145473943e-07,2.925806938947062e-07,2.743531126725429e-07,1.6506950260009037e-06,4.004297726734052e-10,9.34336163993521e-10,7.659012979388535e-09,3.933361938379676e-07,3.616371557768616e-08,1.7356350667796505e-07,5.5919819885730255e-08,2.7680867376034257e-08,8.607270984839489e-08,5.100869771013095e-08,3.7687204468284114e-08,1.5961145294340895e-08,0.0,2.407118238068051e-08,2.002148891122601e-09,3.870820997065039e-09,0.0,8.266870743511845e-09,3.0566138065069026e-08,6.420223996883578e-08,8.717240973510344e-08,1.390740322904094e-07,6.5295594708914e-08,0.0,0.0,2.2323280723934857e-10
1924,1.3393560038821306e-07,3.0288654784271785e-07,4.103482922346302e-07,1.6091253201011568e-06,2.8320387701619154e-10,2.8320387701619154e-10,1.1361088070316328e-08,4.303971365970938e-07,3.428466754940018e-08,1.7794809537008405e-07,4.448702384252101e-08,3.914858126563559e-08,9.734386452464605e-08,5.789244639231583e-08,3.5632503170290875e-08,2.4912733209703223e-08,0.0,2.5949757898047213e-08,1.699223206585998e-09,3.398446413171996e-09,0.0,1.0199157962631489e-08,2.6904368510827226e-08,7.43410168979608e-08,8.897404768504202e-08,1.768804054336215e-07,8.35169728929941e-08,0.0,0.0,2.372641250136809e-10
